Timestamp,F1_415nm,F2_445nm,F3_480nm,F4_515nm,F5_555nm,F6_590nm,F7_630nm,F8_680nm
2025-07-30 14:42:29,7.29,21.14,19.07,55.82,539.54,164.93,51.96,35.46
2025-07-30 14:43:29,7.66,12.83,17.14,21.83,107.90,46.34,25.66,26.28
2025-07-30 14:44:29,20.79,34.54,46.96,60.18,322.50,157.50,70.39,74.71
2025-07-30 14:45:29,0.00,0.00,0.00,0.00,0.34,0.90,0.00,0.00
2025-07-30 14:46:29,11.00,18.46,25.11,32.86,210.89,124.11,39.64,43.93
2025-07-30 14:47:29,5.75,10.11,13.18,17.57,116.61,68.61,21.21,23.93
2025-07-30 14:48:29,1.03,2.24,2.66,3.62,27.38,15.72,4.28,5.45
2025-07-30 14:49:29,1.93,3.93,4.21,6.03,39.55,20.14,7.21,8.76
2025-07-30 14:50:29,1.62,3.31,4.00,5.90,37.38,19.41,7.00,8.00
2025-07-30 14:51:29,1.00,3.00,4.00,5.14,34.76,18.00,6.00,7.17
2025-07-30 14:52:29,1.00,3.00,3.48,5.17,32.97,16.00,6.00,7.00
2025-07-30 14:53:29,1.52,3.38,4.31,5.86,38.34,19.31,6.90,8.31
2025-07-30 14:54:29,2.00,4.00,5.00,7.03,44.00,22.28,8.00,9.97
2025-07-30 14:55:29,2.00,4.52,5.66,7.21,48.00,26.00,9.00,10.38
2025-07-30 14:56:29,3.76,7.14,9.17,11.86,71.03,37.17,14.07,15.48
2025-07-30 14:57:29,5.93,11.68,15.32,19.86,111.64,54.82,23.50,25.07
2025-07-30 14:58:29,2.14,4.55,5.55,7.62,52.03,29.55,9.48,10.76
2025-07-30 14:59:29,6.00,11.34,15.00,20.00,114.66,58.00,24.00,25.14
2025-07-30 15:00:29,9.21,15.52,20.90,27.93,168.38,91.79,32.66,36.62
2025-07-30 15:01:29,6.00,10.90,14.28,19.07,112.21,59.31,22.59,24.45
2025-07-30 15:02:29,8.00,14.86,19.41,25.93,148.21,75.03,30.31,33.03
2025-07-30 15:03:29,7.45,13.55,18.00,23.90,136.07,69.21,28.00,30.00
2025-07-30 15:04:29,7.00,12.97,17.00,22.14,129.07,67.52,26.66,28.62
2025-07-30 15:05:29,7.00,12.03,16.00,21.48,123.24,63.83,25.34,27.03
2025-07-30 15:06:29,7.00,12.00,16.00,21.00,122.00,63.83,25.00,27.00
2025-07-30 15:07:29,1.00,2.00,2.00,2.00,27.38,23.52,3.00,3.97
2025-07-30 15:08:29,2.00,4.55,5.07,7.00,53.41,35.17,9.00,10.03
2025-07-30 15:09:29,4.00,7.00,9.00,12.00,74.00,41.93,14.00,16.00
2025-07-30 15:10:29,4.00,8.00,10.10,13.48,81.76,43.86,16.14,18.03
2025-07-30 15:11:29,0.00,0.00,0.00,0.00,0.32,0.36,0.00,0.00
2025-07-30 15:12:29,0.10,0.93,0.76,1.14,12.93,9.28,1.69,2.31
2025-07-30 15:13:29,0.00,0.96,0.14,1.07,8.46,5.86,1.00,1.57
2025-07-30 15:14:29,248.07,372.17,467.55,568.69,1000.00,1000.00,638.34,687.03
2025-07-30 15:15:29,376.75,582.04,757.29,936.04,1000.00,1000.00,984.29,994.79
2025-07-30 15:16:29,0.28,1.45,1.45,4.31,26.07,3.59,8.24,13.79
2025-07-30 15:17:29,0.00,0.38,0.00,0.83,8.55,3.31,1.69,3.34
2025-07-30 15:18:29,1.04,2.39,2.57,3.61,28.71,17.50,4.54,5.64
2025-07-30 15:19:29,1.38,3.34,3.97,4.79,33.86,20.55,5.45,6.45
2025-07-30 15:20:29,398.69,435.83,470.90,516.10,992.00,980.59,539.86,558.69
2025-07-30 15:21:29,12.57,20.61,28.25,36.39,227.43,136.57,43.04,48.07
2025-07-30 15:22:29,0.14,1.17,1.17,1.86,18.10,13.21,2.24,3.24
2025-07-30 15:23:29,0.25,1.18,1.14,1.79,14.79,9.43,2.21,2.86
2025-07-30 15:24:29,0.25,0.96,0.82,1.14,11.93,7.57,1.57,2.25
2025-07-30 15:25:29,6.24,19.41,19.31,25.03,127.52,56.48,30.00,31.76
2025-07-30 15:26:29,3.00,6.00,7.28,9.93,61.79,33.34,11.93,13.38
2025-07-30 15:27:29,3.00,6.00,8.00,10.69,65.45,35.55,13.00,14.24
2025-07-30 15:28:29,5.41,9.44,12.37,16.89,111.30,65.89,20.41,22.70
2025-07-30 15:29:29,2.25,4.00,4.86,6.68,52.43,37.11,8.29,10.14
2025-07-30 15:30:29,8.04,12.43,15.36,20.43,163.46,125.18,24.25,27.93
2025-07-30 15:31:29,18.62,30.69,40.79,55.41,374.69,231.52,66.72,76.76
2025-07-30 15:32:29,17.28,27.86,37.24,50.24,347.00,219.69,60.45,69.28
2025-07-30 15:33:29,13.86,22.96,31.29,41.18,280.79,174.61,50.04,56.29
2025-07-30 15:34:29,26.89,44.75,60.46,81.64,534.57,319.50,98.71,111.79
2025-07-30 15:35:29,35.57,56.57,77.32,105.82,694.04,449.57,130.46,151.11
2025-07-30 15:36:29,85.69,143.21,199.93,274.31,1000.00,893.03,338.93,390.41
2025-07-30 15:37:29,81.79,136.79,193.28,265.38,1000.00,729.76,328.31,376.83
2025-07-30 15:38:29,66.17,109.72,152.79,209.76,1000.00,678.90,259.24,300.03
2025-07-30 15:39:29,90.31,151.76,213.21,293.03,1000.00,859.28,363.17,418.34
2025-07-30 15:40:29,45.59,81.59,114.62,153.52,883.72,429.07,185.59,206.83
2025-07-30 15:41:29,97.55,163.79,229.79,315.97,1000.00,957.00,390.48,449.76
2025-07-30 15:42:29,13.45,22.03,29.38,39.48,262.59,159.41,47.28,53.93
2025-07-30 15:43:29,9.41,17.07,21.97,26.86,136.90,64.83,29.93,30.00
2025-07-30 15:44:29,64.31,106.45,149.17,206.86,1000.00,762.21,256.28,295.59
2025-07-30 15:45:29,66.36,109.36,154.11,213.18,1000.00,781.89,263.89,303.79
2025-07-30 15:46:29,40.86,63.83,87.00,118.97,832.86,505.86,145.45,168.62
2025-07-30 15:47:29,43.71,69.89,96.07,133.14,911.21,532.04,164.89,191.46
2025-07-30 15:48:29,39.90,62.72,86.17,118.62,827.34,493.90,145.97,170.90
2025-07-30 15:49:29,19.54,32.04,44.07,60.18,395.36,219.18,72.75,83.07
2025-07-30 15:50:29,13.04,23.68,33.18,43.86,252.39,118.57,52.36,57.04
2025-07-30 15:51:29,53.04,83.04,115.39,159.86,1000.00,643.21,197.86,231.14
2025-07-30 15:52:29,65.24,104.52,145.79,202.38,1000.00,777.38,250.76,291.38
2025-07-30 15:53:29,81.39,130.36,183.54,254.82,1000.00,946.21,315.64,365.86
2025-07-30 15:54:29,10.66,19.59,27.31,35.69,209.90,103.17,42.48,46.66
2025-07-30 15:55:29,2.76,6.28,8.17,10.34,55.90,25.17,11.79,12.48
2025-07-30 15:56:29,25.55,39.93,52.45,67.31,430.03,304.93,76.31,82.69
2025-07-30 15:57:29,10.00,15.83,20.55,28.52,203.07,131.03,34.24,40.76
2025-07-30 15:58:29,13.00,19.52,25.90,34.59,251.34,168.14,42.03,49.17
2025-07-30 15:59:29,4.00,7.00,9.03,12.03,77.45,46.00,14.24,16.34
2025-07-30 16:00:29,7.00,10.72,13.62,18.72,142.72,97.55,23.14,26.62
2025-07-30 16:01:29,8.45,13.52,17.52,24.14,168.83,110.55,29.34,33.59
2025-07-30 16:02:29,5.00,9.00,12.00,16.00,95.41,52.00,19.00,20.17
2025-07-30 16:03:29,4.00,7.83,10.00,13.38,80.59,44.79,15.93,17.55
2025-07-30 16:04:29,4.00,7.04,9.54,13.04,76.86,42.14,15.00,17.00
2025-07-30 16:05:29,3.00,5.96,7.04,10.04,63.93,37.89,11.96,13.61
2025-07-30 16:06:29,3.55,6.28,8.10,11.03,70.34,40.59,13.24,15.03
2025-07-30 16:07:29,3.39,6.21,8.00,11.00,70.00,40.00,13.07,15.00
2025-07-30 16:08:29,3.93,7.00,8.97,11.86,71.10,40.00,14.00,15.97
2025-07-30 16:09:29,1.61,3.68,4.46,6.07,44.82,28.79,7.46,8.86
2025-07-30 16:10:29,8.04,15.14,20.29,26.50,154.25,81.96,30.75,33.39
2025-07-30 16:11:29,2.97,6.17,7.86,10.41,62.48,32.55,12.48,13.97
2025-07-30 16:12:29,24.93,37.59,49.28,63.55,387.59,258.52,73.28,78.97
2025-07-30 16:13:29,8.41,15.97,21.52,28.07,160.10,81.31,32.17,35.45
2025-07-30 16:14:29,2.00,4.00,5.00,7.03,42.83,22.00,8.00,9.07
2025-07-30 16:15:29,2.00,4.76,6.00,7.86,48.14,25.28,9.00,10.03
2025-07-30 16:16:29,2.79,4.83,5.79,7.86,50.21,25.24,9.59,10.59
2025-07-30 16:17:29,0.97,2.62,3.00,4.21,28.97,15.41,4.90,5.93
2025-07-30 16:18:29,2.00,4.00,5.00,7.00,42.90,22.00,8.00,9.00
2025-07-30 16:19:29,1.71,3.36,4.29,5.50,36.68,18.71,6.68,7.61
2025-07-30 16:20:29,0.00,1.00,1.00,1.07,12.14,9.21,1.14,2.00
2025-07-30 16:21:29,0.00,1.00,0.66,1.03,11.00,7.48,1.00,2.00
2025-07-30 16:22:29,2.07,4.59,5.41,7.28,43.28,20.41,8.66,9.76
2025-07-30 16:23:29,2.07,4.79,5.75,7.86,45.43,21.25,9.54,10.54
2025-07-30 16:24:29,2.00,4.64,5.61,7.86,43.68,20.00,9.00,10.00
